Facility ID;Facility Name;Location (lat/lon);Address;city;county;Zip;state;rating(google);Website;Contact email;Contact Phone
ChIJuUYSF1aFjogR74Zyo_dA0uU;Hickory Hill Specialty Care Assisted Living;32.4776698/-86.41727729999999;2102 Summit Pkwy, Prattville, AL 36066, USA;city;Autauga County;36066;Alabama;4.5;http://www.hickoryhillharbor.net/media/newsroom.php;N/A;(334) 361-5111
ChIJTw0AG86PjogRLYPnZM5PZs4;Greensprings Assisted Living;32.47566/-86.453363;811 Green Springs Dr, Prattville, AL 36067, USA;city;Autauga County;36067;Alabama;5;N/A;N/A;(334) 365-0678
ChIJBzwLvKCajogRTD5fvPWQeGI;The Gables at Charlton Place Assisted Living Community;32.504518/-86.41785700000001;95 Charlton Pl, Deatsville, AL 36022, USA;city;Autauga County;36022;Alabama;;http://gablesassistedliving.com/;N/A;(334) 290-6990
ChIJZfwj2LePjogRKpPgPLExOsU;Crestview Senior Cottages;32.4647742/-86.45096769999999;777 Wetumpka St, Prattville, AL 36067, USA;city;Autauga County;36067;Alabama;;N/A;N/A;(334) 491-1002
ChIJYaDpFBybjogRLNiLTlf_6Y0;Autumn Place Assisted Living;32.5148129/-86.374208;5930 Main St, Millbrook, AL 36054, USA;city;Elmore County;36054;Alabama;;N/A;N/A;(334) 285-1996
ChIJf3YZfHksjIgRwVneW8SfMPI;Elmcroft of Halcyon;32.3516361/-86.17045;1775 Halcyon Blvd, Montgomery, AL 36117, USA;city;Montgomery County;36117;Alabama;;http://www.elmcroft.com/community/elmcroft-of-halcyon/;N/A;(334) 396-1111
ChIJ881vluArjIgROinbCgol1Xs;Ahepa II;32.385373/-86.1946059;285 Sylvest Dr, Montgomery, AL 36117, USA;city;Montgomery County;36117;Alabama;;http://www.ahepahousing.org/senior-citizens-housing;N/A;(334) 274-0076
ChIJy5R0THcsjIgRY4d-L07uzHI;Wesley Gardens Retirement;32.35586/-86.170322;1555 Taylor Rd, Montgomery, AL 36117, USA;city;Montgomery County;36117;Alabama;5;http://www.methodisthomes.org/;N/A;(334) 272-7917
ChIJT-ABhk6OjogRVfbo5Y2Re3Y;Magnolia Wood;32.4561521/-86.46463199999999;505 Pratt St, Prattville, AL 36067, USA;city;Autauga County;36067;Alabama;3;N/A;N/A;(334) 365-9392
ChIJuemO2suPjogRHxbhHJ72eE8;Prattwood Apartments;32.4685021/-86.4546489;701 E 6th St, Prattville, AL 36067, USA;city;Autauga County;36067;Alabama;3;N/A;N/A;(334) 365-3442
