Facility ID;Facility Name;Location (lat/lon);Address;city;county;Zip;state;rating(google);Website;Contact email;Contact Phone
ChIJg29zYmzua4cR-SLcL8Yar_c;Boulder Jewish Family Service;40.0130639/-105.211447;6007 Oreg Ave, Boulder, CO 80303, USA;city;Boulder County;80303;Colorado;1;http://jewishfamilyservice.org/boulder;N/A;(303) 415-1025
ChIJz-UpByXsa4cRIAvSIz3vKJ8;Presbyterian Manor Senior;40.0134044/-105.2802934;1050 Arapahoe Ave, Boulder, CO 80302, USA;city;Boulder;80302;Boulder County;;N/A;N/A;(303) 444-0642
ChIJueLF4Jrta4cRH3sQI_WzA08;Mary Sandoe House;39.97675169999999/-105.2479299;1244 Gillaspie Dr, Boulder, CO 80305, USA;city;Boulder;80305;Boulder County;2;http://www.themarysandoehouse.com/;N/A;(303) 494-7418
ChIJUfELvXbua4cRgqgzuTb1LDE;Azura Senior Living LLC;40.0288644/-105.2496293;3390 Valmont Rd # B, Boulder, CO 80301, USA;city;Central Boulder;80301;Boulder;;http://www.azuraliving.com/;N/A;(720) 496-2022
ChIJY066fy_za4cRBnYw4f1NA_I;Homewatch CareGivers of Louisville/Lafayette;39.9664699/-105.165279;357 McCaslin Blvd, Louisville, CO 80027, USA;city;Boulder County;80027;Colorado;;http://www.homewatchcaregivers.com/boulder;N/A;(303) 444-1133
ChIJsxgyOiD6a4cRnW8hobVjsSA;Homewatch CareGivers of Boulder County-- Longmont;40.1423506/-105.1278142;2101 Ken Pratt Blvd, Longmont, CO 80501, USA;city;Boulder County;80501;Colorado;;http://www.homewatchcaregivers.com/boulder;N/A;(303) 444-1133
ChIJXUIW2MP0a4cRPQE6Ym48mso;The Peaks at Old Laramie Trail;39.9816599/-105.0972824;660, Old Laramie Trail E, Lafayette, CO 80026, USA;city;CO;80026;United States;4.5;http://www.thepeaksatoldlaramietrail.com/;N/A;(303) 223-2478
ChIJvTFnEvHua4cREtrK4blim_A;Anam Chara Homes;40.04819499999999/-105.274257;1795 Quince Ave, Boulder, CO 80304, USA;city;Boulder;80304;Boulder County;;N/A;N/A;(303) 442-4484
ChIJpYmpsZbta4cRSnzYbFPtcDo;Boulder Manor;40.0007091/-105.2374289;4685 Baseline Rd, Boulder, CO 80303, USA;city;Boulder;80303;Boulder County;2.7;http://www.savaseniorcare.com/;N/A;(303) 494-0535
ChIJWyh2hOO8QIcR1nC3HXDrOuw;Crossroads Senior Living;38.744111/-108.0498656;1380 Aspen Way, Delta, CO 81416, USA;city;Delta County;81416;Colorado;4.2;https://crossroadsalc.org/locations/delta/;N/A;(970) 874-1421
ChIJvUFtKK9SR4cRK9QaKwh3BKA;Willow Tree Care Center;38.7201/-108.057;2050 S Main St, Delta, CO 81416, USA;city;Delta County;81416;Colorado;1;https://www.fivestarseniorliving.com/communities/co/delta/willow-tree-care-center;N/A;(970) 874-9773
ChIJK1W8nkZNR4cRopQflxt5YWM;Comfort Home;38.74010000000001/-108.064;540 Grand Blvd, Delta, CO 81416, USA;city;Delta County;81416;Colorado;1;N/A;N/A;(970) 874-0604
ChIJ-7vSp0pNR4cRqqBYsYXh15o;Heaven's View Apartments;38.7475324/-108.0466054;1445 Porter Ct, Delta, CO 81416, USA;city;Delta County;81416;Colorado;5;https://www.voacolorado.org/housing_properties/heavens-view;N/A;(970) 874-5021
ChIJ4Wkh-D9NR4cRtCyVhTtM2c4;Delta House;38.7437263/-108.0711532;233 Main St, Delta, CO 81416, USA;city;Delta County;81416;Colorado;;http://www.deltahouse.us/;N/A;(970) 874-4448
ChIJIVnHSuCGbIcRN_6clTHnYRM;Brookdale Denver Tech Center;39.6255763/-104.9126484;4901 S Monaco St, Denver, CO 80237, USA;city;Denver;80237;Denver County;3.2;https://www.brookdale.com/en/communities/brookdale-denver-tech-center.html;N/A;(303) 770-6220
ChIJvyj9oWZ9bIcR1kozISBF5q8;The Cottages at Dayton Place;39.6787561/-104.8745192;2032 South Dayton Court, Denver, CO 80247, USA;city;Denver;80247;Arapahoe County;;http://www.morningstarseniorliving.com/communities/the-cottages-at-dayton/;N/A;(303) 751-5150
