Facility ID;Facility Name;Location (lat/lon);Address;city;county;Zip;state;rating(google);Website;Contact email;Contact Phone
ChIJR0PgPS8h7IcR6020NL8jB4M;Woodlands Creek Senior Living;41.61026499999999/-93.79043;12605 Woodlands Pkwy, Clive, IA 50325, USA;city;Walnut;50325;Polk County;5;https://www.woodlandscreek.com/;N/A;(515) 223-9755
ChIJU_7j-3Uw74cRkZAu2rS_P5A;Pella Manor, A Hearthstone-WesleyLife Community;41.404167/-92.91297299999999;608 E 2nd St, Pella, IA 50219, USA;city;Lake Prairie;50219;Marion County;;https://www.wesleylife.org/;N/A;(641) 628-1244
ChIJ-yfrTjmR7ocRuDT0fqKKL6o;Baker Creek Senior Living;41.641651/-93.52476100000001;4560 Hubbell Ave, Des Moines, IA 50317, USA;city;Delaware;50317;Polk County;;https://www.anawimhousing.org/;N/A;(515) 564-6561
ChIJccVbnN4c74cRZ5xqHKjo62I;Park Centre, A Wesleylife Community;41.7032317/-93.0530071;500 1st St N, Newton, IA 50208, USA;city;Newton;50208;Jasper County;4.5;https://www.wesleylife.org/;N/A;(641) 791-5000
ChIJ_T1S-6Se7ocRSTvRKTvSYR8;Calvin Community;41.614464/-93.675578;4210 Hickman Rd, Des Moines, IA 50310, USA;city;Des Moines;50310;Des Moines;4;http://www.calvincommunity.org/;N/A;(515) 277-6141
ChIJiSsjfX-d7ocRh2r54s_0BmQ;WesleyLife;41.66026/-93.7405098;5508 NW 88th St, Johnston, IA 50131, USA;city;Webster;50131;Polk County;;http://www.wesleylife.org/;N/A;(515) 271-6789
ChIJDYuBVfyc7ocRV_wlVtBZORk;Martina Place Assisted Living;41.668889/-93.70019959999999;5815 Winwood Dr, Johnston, IA 50131, USA;city;Webster;50131;Polk County;;http://www.bishopdrumm.org/;N/A;(515) 251-7999
ChIJQY5yqySU7ocRWM5eBWjwmZ8;Courtyard Estates at Cedar Pointe;41.601901/-93.490291;6132 NE 12th Ave, Pleasant Hill, IA 50327, USA;city;Clay;50327;Polk County;4.2;http://www.courtyard-estates.net/;N/A;(515) 285-9108
ChIJmyfQ5Pyc7ocRMxg-lBqMpmY;Bishop Drumm Retirement Center;41.669571/-93.699927;5837 Winwood Dr, Johnston, IA 50131, USA;city;Webster;50131;Polk County;4.7;http://www.bishopdrumm.org/;N/A;(515) 270-1100
ChIJcZNTI4yE7ocRMDMretANHxI;Journey Senior Living of Ankeny;41.7362072/-93.64666919999999;3602 NW 5th St, Ankeny, IA 50023, USA;city;Crocker;50023;Polk County;4;http://www.jsl-a.com/;N/A;(515) 612-7655
ChIJ-YAQIE2c7ocRFMGR0fru5Jg;Bickford Senior Living;41.648995/-93.701672;5915 Sutton Pl, Urbandale, IA 50322, USA;city;Webster;50322;Polk County;5;http://www.enrichinghappiness.com/branch/bickford-of-urbandale;N/A;(515) 331-3000
ChIJgx1L2PSP7ocRhlCnp3uAWP0;Mill Pond;41.724362/-93.57851099999999;1201 SE Mill Pond Ct, Ankeny, IA 50021, USA;city;Douglas;50021;Polk County;4;http://www.mill-pond.org/;N/A;(515) 964-2273
ChIJozOZhhCw7ocRG9O2VxG2mQY;The Village, A WesleyLife Community;41.373214/-93.57073799999999;1203 N E St, Indianola, IA 50125, USA;city;Warren County;50125;Iowa;;https://www.wesleylife.org/;N/A;(515) 961-7458
ChIJp9Ok4OuW7ocRt0EEYV-DroQ;The Shores at Pleasant Hill;41.603261/-93.52477399999999;1500 Edgewater Dr, Pleasant Hill, IA 50327, USA;city;Delaware;50327;Polk County;5;http://www.theshoreslife.com/;N/A;(515) 262-4444
ChIJ08prmkWX7ocRHhXibaz92cs;Village Assisted Living;41.6139021/-93.56951520000001;2555 Guthrie Ave, Des Moines, IA 50317, USA;city;Des Moines;50317;Lee;;http://villageassistedliving.org/;N/A;(515) 299-1740
ChIJtWipZCCF7ocRqrJGCqDcIKk;Vintage Hills at Prairie Trail;41.71734669999999/-93.6190823;1275 SW State St, Ankeny, IA 50023, USA;city;Ankeny;50023;Crocker;4;http://vintagehillsankeny.watermarkcommunities.com/;N/A;(515) 412-3210
ChIJGbyONUG97ocRN3csSk91sYw;Prairie Hills at Des Moines;41.53075799999999/-93.56599799999999;5815 SE 27th St, Des Moines, IA 50320, USA;city;Des Moines;50320;Bloomfield;3.8;https://www.symericasl.com/communities/prairie-hills-des-moines/;N/A;(515) 256-9143
ChIJtd964_iw7ocRElERRzLEo8E;Windsor Manor;41.3537403/-93.5390546;608 S 15th St, Indianola, IA 50125, USA;city;Warren County;50125;Iowa;;https://www.windsor-manor.com/find-a-community/windsor-manor-indianola-ia/;N/A;(515) 961-8900
ChIJ6a7H5JCS7ocRQQ9gGv2wGG8;Courtyard Estates at Hawthorne Crossing;41.69708919999999/-93.44661069999999;601 Hawthorne Crossing Dr SE, Bondurant, IA 50035, USA;city;Franklin;50035;Polk County;3.7;http://www.courtyard-estates.net/;N/A;(515) 957-8399
ChIJ172ZV0-Z7ocRh70Qm8PG6hI;Ramsey Village Continuing Care;41.608973/-93.652822;1611 27th St, Des Moines, IA 50310, USA;city;Des Moines;50310;Des Moines;3.3;http://www.crmscommunities.com/senior_living/Des_Moines_IA/zip_50310/claremont_retirement_management_services/8954;N/A;(515) 809-0608
ChIJY-QkCI6d7ocR-jjxBmGOvkg;Senior Suites of Urbandale;41.64569650000001/-93.7342106;4700 84th St, Urbandale, IA 50322, USA;city;Webster;50322;Polk County;5;http://seniorsuitesofurbandale.com/;N/A;(515) 270-9700
ChIJXb9wYNae7ocRtmxTiPbdvt4;3801 Grand;41.5852428/-93.66850389999999;3801 Grand Ave, Des Moines, IA 50312, USA;city;Des Moines;50312;Des Moines;5;http://3801grand.com/;N/A;(515) 729-6801
ChIJtU3rNQGd7ocRMnXGZbOl-jQ;Edencrest at Green Meadows;41.66648829999999/-93.71159990000001;6750 Corporate Dr, Johnston, IA 50131, USA;city;Webster;50131;Polk County;3;http://edencrestliving.com/;N/A;(515) 207-1984
ChIJgcOcIQqZ7ocRBT2RLUhS2y0;Mercy Senior Services and Housing;41.598885/-93.62347149999999;1111 6th Ave, Des Moines, IA 50314, USA;city;Des Moines;50314;Des Moines;;http://www.mercydesmoines.org/comm_resources/senior.cfm;N/A;(515) 284-1227
ChIJBQVSe46Z7ocRv99EWp4slxQ;Union Park Health Services;41.616725/-93.60719999999999;2401 E 8th St, Des Moines, IA 50316, USA;city;Des Moines;50316;Lee;4.5;https://www.fivestarseniorliving.com/communities/ia/des-moines/union-park-health-services;N/A;(515) 262-9303
ChIJpZ8_DWuw7ocRASfyE9vhF6E;Vintage Hills of Indianola;41.38118120000001/-93.55278629999999;604 E Hillcrest Ave, Indianola, IA 50125, USA;city;Warren County;50125;Iowa;;http://vintagehillsindianola.watermarkcommunities.com/;N/A;(515) 412-3211
ChIJs0F5qfCX7ocRka2cQ23EcdM;Edencrest at Riverwoods;41.5557014/-93.575773;2210 E Park Ave, Des Moines, IA 50320, USA;city;Lee;50320;Polk County;5;http://edencrestliving.com/;N/A;(515) 288-4040
ChIJ0Qsxjd4c74cR1vg6dFnrWgs;Newton Village;41.70404000000001/-93.05431799999999;110 N 5th Ave W, Newton, IA 50208, USA;city;Newton;50208;Jasper County;5;http://newtonvillage.org/;N/A;(641) 792-0115
ChIJE4GYHn-U7ocRfOZxsUObFXs;Prairie Vista Village;41.626699/-93.46343299999999;2785 1st Ave S, Altoona, IA 50009, USA;city;Clay;50009;Polk County;5;http://www.prairievistavillage.com/;N/A;(515) 967-8700
ChIJH4psewie7ocRFrkZgK833bk;The Reserve On Walnut Creek;41.61849429999999/-93.7322617;2727 82nd Pl, Urbandale, IA 50322, USA;city;Walnut;50322;Polk County;3.3;http://www.reserveurbandale.com/;N/A;(515) 727-5927
ChIJuR-inQiZ7ocRqLQT6yI8Hv0;Mercy Senior Services & Housing;41.594166/-93.625125;921 6th Ave, Des Moines, IA 50309, USA;city;Des Moines;50309;Polk County;;http://www.mercydesmoines.org/;N/A;(515) 643-5900
ChIJySJdvVie7ocRmjy3Tdy5paY;Windsor Place Senior Apartments;41.5952858/-93.7036061;6300 School St, Windsor Heights, IA 50324, USA;city;Windsor Heights;50324;Walnut;;N/A;N/A;(515) 221-1200
ChIJrXmeIK9X7IcRIEEBU0vZazg;Lakeside Village;41.7087871/-94.3633973;2067 IA-4, Panora, IA 50216, USA;city;Cass;50216;Guthrie County;;http://www.thelakesidevillage.com/;N/A;(641) 755-3443
