Facility ID;Facility Name;Location (lat/lon);Address;city;county;Zip;state;rating(google);Website;Contact email;Contact Phone
ChIJGadw69QBQ1MRk8DaKTsEduU;Senior Citizens Center;47.270348/-111.699916;2 Central Ave W, Cascade, MT 59421, USA;city;Cascade County;59421;Montana;;N/A;N/A;(406) 468-9883
ChIJJU4zns83QlMRpmd8nI__KGo;The Lodge, A Senior Living Community;47.4860407/-111.2909984;1801 9th St S, Great Falls, MT 59405, USA;city;Cascade County;59405;Montana;3.3;http://www.genesishcc.com/TheLodge;N/A;(406) 771-7440
ChIJU7kjZ6k3QlMRLXdJkjzSZFI;BeeHive Homes of Great Falls;47.489602/-111.26645;2320 15th Ave S, Great Falls, MT 59405, USA;city;Cascade County;59405;Montana;4;http://beehivehomes.com/location/great-falls/;N/A;(406) 205-4516
ChIJrQhiOZc3QlMROtdEmDK83Ow;Cascade Ridge Assisted Living;47.5040886/-111.2815971;3001 15th Ave S, Great Falls, MT 59405, USA;city;Cascade County;59405;Montana;;N/A;N/A;(406) 315-2412
ChIJnS33BI83QlMR2nIX5bf1uOw;Brookdale Great Falls;47.5115315/-111.2875709;1104 6th Ave N, Great Falls, MT 59401, USA;city;Cascade County;59401;Montana;;https://www.brookdale.com/en/communities/brookdale-great-falls.html;N/A;(406) 452-1106
ChIJhc7oKKg3QlMRy4bpeNlzXvo;Highgate Senior Living;47.49219849999999/-111.255476;3000 11th Ave S, Great Falls, MT 59405, USA;city;Cascade County;59405;Montana;4.7;http://www.highgateseniorliving.com/;N/A;(406) 454-0991
ChIJNWop9Kk3QlMRKheQeS_dwhg;Cascade Ridge;47.4899225/-111.2541542;3001 15th Ave S, Great Falls, MT 59405, USA;city;Cascade County;59405;Montana;;N/A;N/A;N/A
ChIJN1jnRrE3QlMRRls2BKNFvFI;Renaissance Senior Care;47.487466/-111.272447;2000 16th Ave S, Great Falls, MT 59405, USA;city;Cascade County;59405;Montana;;http://www.renaissanceseniorcare.com/;N/A;(406) 453-2882
ChIJ023EpLg3QlMRx_xeHZHXKVc;The Grandview at Benefis;47.4851287/-111.2558864;3015 18th Ave S, Great Falls, MT 59405, USA;city;Cascade County;59405;Montana;4.6;http://thegrandviewatbenefis.org/;N/A;(406) 771-6200
ChIJa8m-9cU3QlMRBQiNUuQLRHQ;Golden Eagle Plaza Senior Living;47.4877016/-111.2909112;1615 9th St S, Great Falls, MT 59405, USA;city;Cascade County;59405;Montana;3;http://www.eaglescommunities.com/;N/A;(406) 268-0100
ChIJdQvK8O03QlMR3giTiVzpGaQ;The Rainbow Senior Living;47.506184/-111.302791;20 3rd St N, Great Falls, MT 59401, USA;city;Cascade County;59401;Montana;1.5;http://rainbowsl.com/;N/A;(406) 761-6661
ChIJM57BV5lVQ1MRoqgNdani5Ks;Renaissance Senior Care;46.57949/-111.993645;525 Saddle Dr, Helena, MT 59601, USA;city;Lewis and Clark County;59601;Montana;5;http://www.renaissanceseniorcare.com/;N/A;(406) 449-1258
ChIJKdh8Eo83QlMRTHyHfJY8wt4;Cambridge Court Assisted Living;47.51214900000001/-111.2876779;1109 6th Ave N, Great Falls, MT 59401, USA;city;Cascade County;59401;Montana;2.8;N/A;N/A;(406) 727-7151
ChIJ8egt_ppVQ1MRQoCdX2G5a1E;Touchmark On Saddle Drive;46.57618569999999/-111.989349;915 Saddle Dr, Helena, MT 59601, USA;city;Lewis and Clark County;59601;Montana;4.3;http://touchmarkhelena.com/;N/A;(406) 204-3773
ChIJ34AU6Zo3QlMRLGjI9zjOnZ4;Hosanna Assisted Living Home;47.508821/-111.28034;1521 3rd Ave N, Great Falls, MT 59401, USA;city;Cascade County;59401;Montana;;http://hosannahome.com/;N/A;(406) 453-1171
ChIJX_xXLjpIQlMRZ5A_xF2RR8Q;Bluebird Assisted Living;47.482124/-111.330748;1101 24th Ave SW, Great Falls, MT 59404, USA;city;Cascade County;59404;Montana;5;http://montcare.com/bluebird-assisted-living/3669163;N/A;(406) 453-5800
ChIJF0FgG443QlMRlpJOBvUoGMw;Meadowlark Assisted Living;47.5087937/-111.2895669;1009 3rd Ave N, Great Falls, MT 59401, USA;city;Cascade County;59401;Montana;5;http://montcare.com/;N/A;(406) 452-6400
ChIJQ4ZfVb9QZlMRYd9pvV58C1c;VilJoya-Enhanced Independent Living;48.19600200000001/-114.320458;119 5th Ave W, Kalispell, MT 59901, USA;city;Flathead County;59901;Montana;5;http://www.viljoya.com/;N/A;(406) 755-2287
ChIJCTpL8YJCZlMRMut1lqHFGW8;The Springs At Whitefish;48.383119/-114.3289899;1001 River Lakes Pkwy, Whitefish, MT 59937, USA;city;Flathead County;59937;Montana;3;http://www.thespringsliving.com/senior-living/mt/whitefish/the-springs-at-whitefish/;N/A;(406) 862-6322
ChIJN-QxzphQZlMRH2Kl0UQe4Aw;Immanuel Lutheran Communities;48.211244/-114.322978;185 Crestline Ave, Kalispell, MT 59901, USA;city;Flathead County;59901;Montana;;http://www.ilcorp.org/;N/A;(406) 752-9622
ChIJ4wmcxLZQZlMRWEchEF_QunA;United Way of Flathead, Lake, Lincoln, Glacier & Sanders Counties;48.20163410000001/-114.3340194;1203 US-2, Kalispell, MT 59901, USA;city;Flathead County;59901;Montana;3.5;http://www.unitedwaycares.org/;N/A;(406) 752-7266
ChIJF-Z3YzNNZlMR7JjmAOFQkMM;Rising Mountains Assisted Living;48.1029012/-114.0868777;225 Coverdell Rd, Bigfork, MT 59911, USA;city;Flathead County;59911;Montana;;http://risingmountains.com/;N/A;(406) 837-2698
